family_group_id,hashed_lens_id,is_representative,merge_reason
FG-0134,b42763b0b508f11b,True,singleton
FG-0135,a88b6d64ff173ad1,True,singleton
FG-0136,fb5fbc9f8bce13cb,True,singleton
FG-0137,2e6d64681fad9c7a,True,singleton
FG-0138,20c5c9d456464969,True,singleton
FG-0139,812a9eb35f301e10,True,singleton
FG-0140,9d95f354d4b8d79a,True,singleton
FG-0141,2dae3a32863e9bd8,True,singleton
FG-0142,6eeaa33f11cd1b13,True,singleton
FG-0143,77fbce905a344aeb,True,singleton
FG-0144,7893ffbaffc32eb3,True,singleton
FG-0145,e6a845e1b8015ec2,True,singleton
FG-0146,2c6a9fabcdba69ae,True,singleton
FG-0147,18d01965cc01f5ca,True,singleton
FG-0148,a083b02d5c96d8af,True,singleton
FG-0149,f48d618f7e98aa52,True,singleton
FG-0150,19e5be65c91a16d5,True,singleton
FG-0151,95f5cb0fd5a81538,True,singleton
FG-0152,d1a73adcfef863e8,True,singleton
FG-0153,7c10524ec0db51c7,True,singleton
FG-0154,093f56134ccb8b5d,True,singleton
FG-0155,db48f17e83d854a3,True,singleton
FG-0156,c9a509d9d157e6c4,True,singleton
FG-0157,0c4adbc89565e78c,True,singleton
FG-0158,c41cf19a7f906540,True,singleton
FG-0159,c65a8f6b08444ebd,True,singleton
FG-0160,52cec96d7e594bcd,True,singleton
FG-0161,386f26158af1681e,True,singleton
FG-0162,6f35d1a3ecb748c1,True,singleton
FG-0163,7f716e6d630e5f40,True,singleton
FG-0164,f4430ad32d31a3c6,True,singleton
FG-0165,179748be80525132,True,singleton
FG-0166,62c68e8a0af8022c,True,singleton
FG-0167,71263e9a6a3ec79d,True,singleton
FG-0168,72d69ff45c342bb9,True,singleton
FG-0169,4faba7d8896a04d4,True,singleton
FG-0170,1bd9ff4110542294,True,singleton
FG-0171,b6301e4fa17a850c,True,singleton
FG-0172,3cbc4c429cd482cb,True,singleton
FG-0173,5fc7761118ab1756,True,singleton
FG-0174,4f393be6efd8f6c3,True,singleton
FG-0175,1dece901c7ee5823,True,singleton
FG-0176,616fab7cc2d1da73,True,singleton
FG-0177,f612017e835ff00f,True,singleton
FG-0178,8c9b0787b6effca7,True,singleton
FG-0179,f58dd71ff3d39155,True,singleton
FG-0180,96096bc1d8a6fd05,True,singleton
FG-0181,2f9db9521be4ede8,True,singleton
FG-0182,e7a6e5b7159f6063,True,singleton
FG-0183,d6e1adc5ccf710a9,True,singleton
FG-0184,d678afbcd202e1b6,True,singleton
FG-0185,58d542996d171980,True,singleton
FG-0186,887deea288f4fd6c,True,singleton
FG-0187,4c0fa9203933e3d3,True,singleton
FG-0188,6dc3dbe65fdce61f,True,singleton
FG-0189,2761c978977029e0,True,singleton
FG-0190,ea87f3ad48d13735,True,singleton
FG-0191,1aab206e22114eb4,True,singleton
FG-0192,deddec05ce114b24,True,singleton
FG-0193,dae1bee9334b1a05,True,singleton
FG-0194,f69432bb0aa67d41,True,singleton
FG-0195,05dff402db14a351,True,singleton
FG-0196,4f963976209c4d96,True,singleton
FG-0197,08af13cc0d3b4231,True,singleton
FG-0198,988cde9fb3018474,True,singleton
FG-0199,9331f75d51d82412,True,singleton
FG-0200,cb1e35ada4836462,True,singleton
FG-0201,bb6dc1c4fcfb31a6,True,singleton
FG-0202,cdd0404a79017c5d,True,singleton
FG-0203,d22ff24a87c75e39,True,singleton
FG-0204,67448c9a46e6db3a,True,singleton
FG-0205,722a381fda6df62b,True,singleton
FG-0206,9b917234a256434c,True,singleton
FG-0207,5e073ff5192e7499,True,singleton
FG-0208,41c603ef1ab2f176,True,singleton
FG-0209,3a9a5f9cf4e590d6,True,singleton
FG-0210,21b826fab427af03,True,singleton
FG-0211,e4d2a128e0483cdd,True,singleton
FG-0212,26ecf16a9adbb178,True,singleton
FG-0213,8fe16863127ebbf8,True,singleton
FG-0214,055637e11ca47597,True,singleton
FG-0215,6ad6e2561906f50f,True,singleton
FG-0216,a22d0ba8a371dcf6,True,singleton
FG-0217,659889784c23357c,True,singleton
FG-0218,e3ec6de08757820a,True,singleton
FG-0219,0447b4e820cbaa97,True,singleton
FG-0220,d63b23a34f419274,True,singleton
FG-0221,86bc1f5500adf2b6,True,singleton
FG-0222,618f3a5a6644c373,True,singleton
FG-0223,951dbc8fed8c2474,True,singleton
FG-0224,27c8582cb35fe8fe,True,singleton
FG-0225,ecc973da21bc39ff,True,singleton
FG-0226,079be9e107312788,True,singleton
FG-0227,32e2ecb3fc31ad62,True,singleton
FG-0228,d8f532429b31be57,True,singleton
FG-0229,dc3a9f8bcb55d7ff,True,singleton
FG-0230,bbd39c93a94851bb,True,singleton
FG-0231,1bfe41479756fc17,True,singleton
FG-0232,b431813db06c1558,True,singleton
FG-0233,9eb30f080b029400,True,singleton
FG-0234,d6b42c5efdac4eda,True,singleton
FG-0235,86f553fd989fb8fe,True,singleton
FG-0236,e3cffa26877de6d0,True,singleton
FG-0237,43497027f5e7a60d,True,singleton
FG-0238,f35b72d2da3c4bb3,True,singleton
FG-0239,ae77ad71311af342,True,singleton
FG-0240,15a1d8b727b511a1,True,singleton
FG-0241,1c51aca3d2be76ea,True,singleton
FG-0242,452bb709743c67df,True,singleton
FG-0243,546a48b49854d7f2,True,singleton
FG-0244,10ef6cbc79223b15,True,singleton
FG-0245,b86b90c6624beca3,True,singleton
FG-0246,9fb8983e4e678978,True,singleton
FG-0247,d96b491dacedfed4,True,singleton
FG-0248,a8d256b8ac3cf5dd,True,singleton
FG-0249,68e06a77281746b6,True,singleton
FG-0250,ddcdf1798c280e15,True,singleton
FG-0251,524bba352fb37369,True,singleton
FG-0252,4a3178079eb0a03d,True,singleton
FG-0253,575adb4460c2b0f1,True,singleton
FG-0254,be172fe14a96f425,True,singleton
FG-0255,5539c0bac08bfb52,True,singleton
FG-0256,2591b62908ed7ad7,True,singleton
FG-0257,01ad785e4e4f9272,True,singleton
FG-0258,a45c447d2bb9a495,True,singleton
FG-0259,964c4ef21e03bfbd,True,singleton
FG-0260,89da2f526d7f9b37,True,singleton
FG-0261,dfe1fef47b471b96,True,singleton
FG-0262,e6d3d8057db00f09,True,singleton
